Year,Week,Winning Team,Winning Score,Losing Team,Losing Score
2015,Week 8,Non-fiction people,116.08,The Lincoln Lincolns,106.34
2015,Week 8,Black Bears,115.64,The_Dark_Side,96.08
2015,Week 8,The Moose Whisperers,109.8,istilldontknowstuff,91.64
2015,Week 9,The Brute Squad,121.16,The Moose Whisperers,78.72
2015,Week 9,Fighting Americans,134.68,Password is Taco,122.14
2015,Week 9,Avengers Athletics,121.42,The Lincoln Lincolns,107.14
2015,Week 9,Non-fiction people,125.66,The_Dark_Side,79.86
2015,Week 9,Black Bears,108.16,istilldontknowstuff,76.8
2015,Week 10,Fighting Americans,94.88,The Brute Squad,83.38
2015,Week 10,Password is Taco,104.28,The Lincoln Lincolns,94.68
2015,Week 10,Avengers Athletics,101.6,The_Dark_Side,72.72
2015,Week 10,Non-fiction people,96.12,istilldontknowstuff,67.36
2015,Week 10,Black Bears,92.06,The Moose Whisperers,74.34
2015,Week 11,The Brute Squad,90,The Lincoln Lincolns,72.72
2015,Week 11,Fighting Americans,106.84,The Moose Whisperers,75.86
2015,Week 11,The_Dark_Side,74.98,Password is Taco,48.06
2015,Week 11,istilldontknowstuff,104.42,Avengers Athletics,74.1
2015,Week 11,Black Bears,82.38,Non-fiction People,67.98
2015,Week 12,The_Dark_Side,99.16,The Brute Squad,81.72
2015,Week 12,The Lincoln Lincolns,116.24,Fighting Americans,100.62
2015,Week 12,istilldontknowstuff,140.1,Password is Taco,80.3
2015,Week 12,Black Bears,120.1,Avengers Athletics,75.6
2015,Week 12,Non-fiction people,119.28,The Moose Whisperers,41.7
2015,Week 13,istilldontknowstuff,104.38,The Brute Squad,64.9
2015,Week 13,Fighting Americans,156.74,The_Dark_Side,103.46
2015,Week 13,The Lincoln Lincolns,67.74,The Moose Whisperers,37.8
2015,Week 13,Black Bears,117.68,Password is Taco,97.32
2015,Week 13,Avengers Athletics,105.96,Non-fiction People,66.42
2015,Wild Card 1,Password is Taco,95.68,istilldontknowstuff,91.98
2015,Wild Card 2,The Lincoln Lincolns,96.84,Non-fiction People,75.12
2015,Consolation 1,The Moose Whisperers,66.3,The Brute Squad,39.3
2015,Consolation 2,Avengers Athletics,138.34,The_Dark_Side,79.68
2015,Semi Final 1,Fighting Americans,155,Password is Taco,142.56
2015,Semi Final 2,The Lincoln Lincolns,107.24,Black Bears,96.48
2015,5th Place,istilldontknowstuff,109.84,Non-fiction People,72.16
2015,9th Place,The_Dark_Side,95.52,The Brute Squad,84.1
2015,7th Place,Avengers Athletics,109.34,The Moose Whisperers,66
2015,3rd Place,Black Bears,104.04,Password is Taco,75.86
2015,Championship,Fighting Americans,116.78,The Lincoln Lincolns,92.26
2016,Week 1,Avengers Athletics,112.7,The Brute Squad,105.2
2016,Week 1,Black Bears,126.76,The Moose Whisperers,91.76
2016,Week 1,The Lincoln Lincolns,103.32,Fighting Americans,87.18
2016,Week 1,istilldontknowstuff,103.4,Password is Taco,83.34
2016,Week 1,The_Dark_Side,116.02,Non-fiction People,112.26
2016,Week 2,Black Bears,123.1,The Brute Squad,116.1
2016,Week 2,Avengers Athletics,116.56,The_Dark_Side,84.86
2016,Week 2,The Moose Whisperers,79.02,Fighting Americans,66.92
2016,Week 2,The Lincoln Lincolns,104.62,istilldontknowstuff,95.76
2016,Week 2,Password is Taco,111.86,Non-fiction People,73.02
2016,Week 3,The Brute Squad,135.9,Fighting Americans,98.5
2016,Week 3,Black Bears,100.3,Avengers Athletics,77.86
2016,Week 3,The Moose Whisperers,130.98,istilldontknowstuff,127.64
2016,Week 3,Non-fiction People,150.5,The Lincoln Lincolns,133.84
2016,Week 3,Password is Taco,74.78,The_Dark_Side,56.12
2016,Week 4,The Brute Squad,108.62,istilldontknowstuff,95.36
2016,Week 4,Avengers Athletics,119.38,Fighting Americans,62.94
2016,Week 4,Black Bears,111.64,The_Dark_Side,75.26
2016,Week 4,Non-fiction People,86.68,The Moose Whisperers,84.5
2016,Week 4,Password is Taco,101.32,The Lincoln Lincolns,81.78
2016,Week 5,The Brute Squad,111.04,Non-fiction People,99.06
2016,Week 5,istilldontknowstuff,113.58,Avengers Athletics,106.56
2016,Week 5,Black Bears,96.78,Fighting Americans,92.98
2016,Week 5,The Moose Whisperers,94.16,Password is Taco,87.06
2016,Week 5,The Lincoln Lincolns,79.32,The_Dark_Side,78.76
2016,Week 6,The Brute Squad,93.14,Password is Taco,86.26
2016,Week 6,Avengers Athletics,87.74,Non-fiction People,71.26
2016,Week 6,Black Bears,110.1,istilldontknowstuff,93.36
2016,Week 6,The_Dark_Side,107.2,Fighting Americans,97.9
2016,Week 6,The Lincoln Lincolns,125.3,The Moose Whisperers,98.78
2016,Week 7,The Lincoln Lincolns,110.98,The Brute Squad,102.58
2016,Week 7,Avengers Athletics,107.54,Password is Taco,49.56
2016,Week 7,Non-fiction People,107.24,Black Bears,103.62
2016,Week 7,istilldontknowstuff,119.92,Fighting Americans,64.54
2016,Week 7,The Moose Whisperers,90.94,The_Dark_Side,58.6
2016,Week 8,The Brute Squad,105,The Moose Whisperers,86.08
2016,Week 8,The Lincoln Lincolns,103.3,Avengers Athletics,77.96
2016,Week 8,Black Bears,147.02,Password is Taco,84.08
2016,Week 8,Fighting Americans,120.52,Non-fiction People,105.84
2016,Week 8,istilldontknowstuff,95.8,The_Dark_Side,94.42
2016,Week 9,The Brute Squad,109.76,The_Dark_Side,92.08
2016,Week 9,Avengers Athletics,133.88,The Moose Whisperers,117.4
2016,Week 9,The Lincoln Lincolns,125.22,Black Bears,97.26
2016,Week 9,Fighting Americans,104.66,Password is Taco,97.64
2016,Week 9,istilldontknowstuff,85.18,Non-fiction People,84.98
2016,Week 10,Avengers Athletics,95.5,The Brute Squad,88.34
2016,Week 10,Black Bears,103.38,The Moose Whisperers,76.94
2016,Week 10,Fighting Americans,110.5,The Lincoln Lincolns,88.42
2016,Week 10,Password is Taco,110.68,istilldontknowstuff,102.66
2016,Week 10,The_Dark_Side,109.12,Non-fiction People,108.74
2016,Week 11,The Brute Squad,106.1,Black Bears,96.74
2016,Week 11,The_Dark_Side,107.28,Avengers Athletics,69.88
2016,Week 11,Fighting Americans,97.88,The Moose Whisperers,85.78
2016,Week 11,The Lincoln Lincolns,91.7,istilldontknowstuff,87.48
2016,Week 11,Non-fiction People,108.14,Password is Taco,82.44
2016,Week 12,Fighting Americans,93.2,The Brute Squad,92.14
2016,Week 12,Avengers Athletics,96.72,Black Bears,70.66
2016,Week 12,istilldontknowstuff,153.7,The Moose Whisperers,94.74
2016,Week 12,Non-fiction People,100.72,The Lincoln Lincolns,92.2
2016,Week 12,Password is Taco,88.6,The_Dark_Side,55.74
2016,Week 13,istilldontknowstuff,122.52,The Brute Squad,80.06
2016,Week 13,Fighting Americans,109.4,Avengers Athletics,64.66
2016,Week 13,Black Bears,103.78,The_Dark_Side,88.28
2016,Week 13,The Moose Whisperers,109.86,Non-fiction People,104.26
2016,Week 13,The Lincoln Lincolns,105.64,Password is Taco,102.9
2016,Wild Card 1,The Brute Squad,112.94,istilldontknowstuff,91.1
2016,Wild Card 2,Avengers Athletics,88,Fighting Americans,75.08
2016,Consolation 1,The_Dark_Side,130.76,Non-fiction People,72.58
2016,Consolation 2,The Moose Whisperers,92.04,Password is Taco,66.58
2016,Semi Final 1,Black Bears,116.04,The Brute Squad,61.86
2016,Semi Final 2,The Lincoln Lincolns,112.6,Avengers Athletics,75.38
2016,5th Place,istilldontknowstuff,87.06,Fighting Americans,70.22
2016,9th Place,Non-fiction People,118.08,Password is Taco,92.48
2016,7th Place,The Moose Whisperers,108.72,The_Dark_Side,102.8
2016,3rd Place,The Brute Squad,131.36,Avengers Athletics,83.02
2016,Championship,Black Bears,104.76,The Lincoln Lincolns,90.36
2017,Week 1,The Brute Squad,127.24,Avengers Athletics,75.78
2017,Week 1,The Moose,86.28,Black Bears,68.84
2017,Week 1,The Enigma,89.78,Fighting Americans,71.12
2017,Week 1,Password is Taco,100.22,istilldontknowstuff,87.34
2017,Week 1,The_Dark_Side,61.8,Non-fiction People,56.84
2017,Week 2,Black Bears,110.62,The Brute Squad,98.28
2017,Week 2,Avengers Athletics,83.6,The_Dark_Side,74.26
2017,Week 2,The Moose,86.38,Fighting Americans,60.92
2017,Week 2,istilldontknowstuff,99.64,The Enigma,87.76
2017,Week 2,Password is Taco,113.02,Non-fiction People,89.8
2017,Week 3,Fighting Americans,132.42,The Brute Squad,85.14
2017,Week 3,Black Bears,124.22,Avengers Athletics,69.22
2017,Week 3,The Moose,102.82,istilldontknowstuff,87.2
2017,Week 3,Non-fiction People,99.6,The Enigma,92.02
2017,Week 3,Password is Taco,122.9,The_Dark_Side,88.2
2017,Week 4,Fighting Americans,98.3,Avengers Athletics,48.92
2017,Week 4,istilldontknowstuff,88.42,The Brute Squad,88.08
2017,Week 4,Black Bears,113.56,The_Dark_Side,106
2017,Week 4,The Moose,92.68,Non-fiction People,87.54
2017,Week 4,The Enigma,123.78,Password is Taco,89.44
